A / Aichi / 472 / 2009 ( H1N1 ) pdm	1
Acer pseudoplatanus	1
Achromobacter xylosoxidans A8	1
Achromobacter xylosoxidans strain A8	1
A . flavus	1
A / H1	1
A / H1pdm	1
A / H3	1
A / H3N2 influenza viruses	1
Alces alces	1
Almophrya bivacuolata	1
Arctic springtail	1
A / Sakai / 89 / 2009 ( H1N1 ) pdm	1
Asian rice	1
Aspergillus flavus	1
Aspergillus terreus	1
A . terreus	1
ATMT0225B6	1
A . xylosoxidans	1
Bathygobius fuscus	1
B . burgdorferi	1
B . burgdorferi strain 31	1
Bemisia argentifolii	1
Betaproteobacteria	1
betaproteobacterium	1
B . fuscus	1
B . licheniformis	1
B . megaterium	1
B . mycoides	1
B . pumilus	1
Brassica oleracea var . italica	1
B . rhizoxinica HKI 0454	1
Bythotrephes longimanus	1
Campylobacter coli	1
Campylobacter fetus	1
Campylobacter fetus subsp . venerealis	1
C . fetus subsp . venerealis	1
C . gulosus	1
Chaenogobius annularis	1
chimpanzees	1
Chlamydia trachomatis	1
Chlorella strains	1
coho	1
Colpoda aspera	1
common brushtail possum	1
corn leafhopper	1
Cotterillia bromelicola	1
cotton bollworm	1
Dalbulus maidis	1
Daucus carota	1
Delphacodes kuscheli	1
Dengue	1
dengue viruses	1
DSM 21436 ( T )	1
E . coli B	1
E . ecaudatum	1
Eretmocerus eremicus	1
E . tasmaniensis	1
Eudrilophrya complanata	1
European beech	1
E viruses	1
fungal	1
Fusariumboothii	1
glassy - winged sharpshooter	1
Glassy - Winged Sharpshooter	1
Glomus etunicatum	1
great tits	1
G . sulfurreducens	1
H1N1pdm	1
H1N1pdm virus	1
H5 influenza a viruses	1
H5 viruses	1
Helicoverpa assulta	1
Helicoverpa zea	1
hepatitis A	1
Hepatitis C virus	1
Holopedium gibberum	1
Homalodisca vitripennis	1
Homalodisca vitripennis ( Germar )	1
house mouse	1
Human immunodeficiency virus type 1	1
human influenza virus	1
human influenza virus A	1
IL1403	1
influenza	1
influenza A	1
Influenza A viruses	1
Japanese encephalitis virus	1
JCM 16107 ( T )	1
JEV	1
K - 12	1
K - 12 strains of E . coli	1
Leucena leucocephala	1
Leuciscus leuciscus	1
L . lactis	1
Lotus corniculatus	1
Lotus creticus	1
Lotus tenuis	1
LPU83 - H	1
M . arctica	1
Metaracoelophrya intermedia	1
Methanobacterium bryantii	1
Methanobacterium veterum MK4 ( T )	1
Microsporum gypseum	1
MoCDC15 ( T - DNA )	1
moose	1
Mouse	1
Muscidifurax raptorellus	1
Mus domesticus	1
Nicotiana rustica	1
Njinella prolifera	1
Nocardioides aquiterrae GW - 9	1
Nocardioides dokdonensis FR1436	1
Nocardioides hankookensis DS - 30	1
Nocardioides pyridinolyticus OS4	1
N . pyridinolyticus OS4	1
NUM 1615 ( T )	1
ORFV	1
ORFV002	1
orf virus	1
Oryza rufipogon	1
P . aeruginosa strain PA103	1
pandemic influenza A / H1N1 2009	1
Pandemic influenza A / H1N1 2009 ( A / H1N1pdm ) virus	1
Paraclausilocola constricta n . gen . , n . sp .	1
Paraclausilocola elongata n . sp .	1
Parus major L .	1
Peromyscus leucopus	1
PERV	1
PERV - A	1
Phaseolus vulgaris	1
Platynota stultana	1
porcine endogenous retrovirus	1
Porcine endogenous retroviruses	1
P . penardii	1
pseudorabies virus	1
Quercus petraea	1
Raabena bella	1
rapeseed	1
Rhizobium mongolense USDA 1844	1
rice blast pathogen	1
R . mongolense 1844	1
Salmo salar	1
S . cameroni	1
seasonal influenza A / H1N1	1
seasonal influenza A / H3N2 viruses	1
S . endius	1
silkmoth	1
silver leaf whitefly	1
Sinorhizobium medicae	1
S . marcescens	1
Spalangia cameroni	1
Spalangia endius	1
S . pyogenes	1
S . ratti	1
S . suis strain 89 / 1591	1
Streptococcus pyogenes	1
Streptococcus ratti ATCC 19645	1
S . ursoris	1
swine - origin influenza A virus ( S - OIV ) ( H1N1 )	1
sycamore	1
Tillandsia heterophylla	1
Trichophyton rubrum	1
tropical japonica rice	1
T . selenica	1
Vesicular stomatitis virus	1
viral strains of A / H1N1pdm	1
wax moth	1
West Nile	1
White - footed mice	1
wild type MoCDC15	1
WN virus	1
Xylella fastidiosa ( Wells )	1
yellow fever mosquito	1
2009 H1N1 A / CA / 04 / 09 virus	2
2009 pandemic virus	2
26 / 51	2
35S : : prosys plant	2
871	2
9715	2
A . annua	2
A . annua plants	2
A . arenaria	2
A . areolatum	2
A . assamensis	2
A / AV88 ( L )	2
Abeoforma whisleri	2
Abeoforma whisleri , gen . nov . , sp . nov .	2
Acanthamoeba castellanii	2
Acetobacterium woodii	2
adenoviral	2
Adenovirus	2
Adenovirus type 5	2
Aedes aegypti mosquitoes	2
Aeromonas hydrophila	2
African elephant	2
Africanized honeybees	2
African striped mouse	2
Agaricus brasiliensis	2
Agrobacteriumtumefaciens	2
Agrobacterium tumefasciens	2
Agrobacterium tumefsciens	2
A / GS / LX / 66	2
A / H1N1pdm virus	2
Aleutian mink disease virus	2
Aleutian mink disease virus ( AMDV )	2
Alliaria petiolata	2
Alligator mississippiensis	2
American dog tick	2
Ammophila arenaria	2
Amoebophrya spp .	2
Amphidinium poecilochroum	2
Amphiprion percula	2
A . nigeralbA	2
A . niger ATCC strain 1015	2
A . niger strain	2
Anopheles quadrimaculatus	2
An . peditaeniatus	2
anthrax	2
anti - HCV	2
A . percula	2
A . petiolata	2
Apis cerana cerana	2
Apis cerana cerana ( Acc )	2
Asia 1 / CHN / 05	2
Asia 1 / YNBS / 58	2
Asian elephants	2
Aspergillus fumigatuscyp51A	2
Aspergillus parasiticus	2
A . tumefaciens	2
A / turkey / OH / 313053 / 04 ( H3N2 )	2
Aureococcus anophagefferens	2
Auricularia auricula - judae	2
Auritidibacter ignavus	2
Bacillus cereus group species	2
Bacillus thuringiensis variety israelensis	2
Bacillus thuringiensis var . israelensis	2
bacteriophage	2
Baculovirus	2
baculoviruses	2
Baetis rhodani	2
Baikalospongia intermedia	2
Baikalospongia recta	2
B . amyloliquefaciens FZB42	2
B . anthracis strain	2
barbadensis	2
Barbarea vulgaris	2
B . bacteriovorus HD100	2
B . bifidum S17	2
B . cereus	2
B . cinerea	2
B . dermatitidis	2
Bean leafroll virus	2
Beet chlorosis virus	2
Beet mild yellowing virus	2
Beet western yellows virus	2
Beta human papillomavirus ( HPV ) type 8	2
Beutenbergia cavernae	2
Bifidobacterium bifidum	2
Bifidobacterium bifidum S17	2
BL21 E . coli	2
black	2
black - legged kittiwake	2
black morels	2
Blacktip reef sharks	2
black truffle	2
black truffles	2
Blastocrithidia culicis	2
blue - footed booby	2
blue tits	2
Blumeria graminis f . sp . tritici	2
B . napus	2
body lice	2
Bombyx mori L	2
Botryotinia fuckeliana	2
Brassica napus	2
Brassica rapa	2
B . rhodani	2
brook trout	2
buffalo	2
Burkholderia rhizoxinica	2
CAIM 1449 ( T )	2
Callosobruchus maculatus	2
Caloranaerobacter azorensis	2
Camponotus herculeanus	2
Candida krusei	2
Candida tropicalis	2
Carcharhinus leucas	2
Carex scabrifolia	2
Casaurina glauca	2
Cassava brown streak virus	2
C . cantabrigiensis	2
CCUG 57943 ( T )	2
C . desouzai	2
Cereal yellow dwarf virus - RPV	2
C . flavipes Cameron	2
charr ' s	2
Chelonia mydas	2
Chlamydomonas reinhardtii	2
Chlorella minutissima	2
Chlorella vulgaris	2
C . hominivorax	2
Chrysodeixis chalcites	2
Chusquea c . f . scandens	2
citrus red mite	2
Citrus volkameriana	2
class II NDV isolates	2
class II Newcastle disease viruses	2
class II strains of Newcastle disease virus ( NDV )	2
C . mopane	2
Coccinella septempunctata L .	2
Cochliobolus heterostrophus	2
Cochliobolus luttrellii	2
Coereba flaveola	2
Colophospermum mopane	2
Colorado potato beetle	2
Colorado potato beetles	2
Colpodella edax	2
common cuckoos	2
Conotrachelus nenuphar ( Herbst )	2
corn planthopper	2
corn smut	2
Cotesia sesamiae ( Cameron )	2
Cotterillia bromelicola nov . gen . , nov . spec .	2
coxsackievirus A9	2
coxsackievirus B3	2
CpBV	2
C . pipiens	2
C . plutellae	2
Crithidia bombi	2
Crithidia deanei	2
Crithidia oncopelti	2
Cryptococcus neoformans JEC21	2
Cuban laurel thrips	2
cuckoos	2
Cucurbit aphid - borne yellows virus	2
cv Cho - Ko - Koku	2
Cyanidioschyzon merolae	2
Cyphorhinus phaeocephalus	2
D . algensis	2
D . algensis n . sp .	2
Datisca glomerata	2
D . derouxi	2
Deltapga1	2
Dendropsophus ebraccatus	2
Dermacentor variabilis	2
Dermamoeba algensis n . sp .	2
D . hansenii	2
Diabrotica virgifera virgifera ( LeConte )	2
diamondback moth	2
Diplonema papillatum	2
D . kuscheli	2
D . maidis	2
D . papillatum	2
DSM 45359 ( T )	2
duck astrovirus	2
Duck astrovirus	2
duck hepatitis A virus	2
duck plague herpesvirus	2
duck reovirus	2
Dunaliella tertiolecta	2
E . amylovora	2
Ebola viruses	2
E . caudatum	2
Eciton burchellii	2
E . coli K - 12	2
E . crassipes	2
ectromelia virus	2
E . faecium	2
E . faecium E1162	2
Eichhornia crassipes	2
Eimeria falciformis	2
Eimeria nieschulzi	2
Elatobium abietinum	2
E . maggii	2
Emmonsia parva	2
Entamoeba hartmanni	2
Entodinium caudatum	2
E . parva	2
Epidinium ecaudatum	2
Erwinia amylovora	2
Erwinia tasmaniensis	2
Erythrura gouldiae	2
Escherichia coli O84 : H4 strain 4795 / 97	2
E . sinensis	2
Eudiplodinium maggii	2
Eupolyphaga sinensis	2
Eurasian sparrowhawks	2
European corn borer	2
Fagus sylvatica	2
F . boothii	2
FGSC 9935	2
FGSC species	2
Filoreta japonica	2
fire ants	2
Flavobacterium frigoris LMG 21922 ( T )	2
Flavobacterium gelidilacus	2
Flavobacterium gelidilacus LMG 21477 ( T )	2
Flavobacterium terrae R2A1 - 13 ( T )	2
Flock House virus B2	2
Florida panthers	2
F . louisianense	2
FMDV type Asia 1	2
F . nepalense	2
foot - and - mouth disease virus	2
foot - and - mouth disease virus O	2
Formica aquilonia	2
F . oxysporum f . sp . lycopersici isolate FGSC 9935	2
F . oxysporum transformant	2
Friend retrovirus	2
Friend virus	2
FtsZ - I374V strain	2
Fusarium gerlachii + F . graminearum	2
Fusarium graminearum complex	2
Fusarium graminearum species complex	2
Fusariumgraminearum species complex	2
Fusarium louisianense	2
Fusarium nepalense	2
Fusariumsacchari	2
Fusarium spp	2
Fusarium ussurianum + Fusarium asiaticum	2
Galaxias anomalus	2
Galeocerdo cuvier	2
G . biloba	2
Geleia simplex ( Faure - Fremiet , 1951 )	2
genus Beta HPV	2
Geobacter sulfurreducens	2
Geocoris bullatus ( Say )	2
giant Australian cuttlefish	2
Gibberella zeae	2
G . intraradicesNH ( 4 )	2
Glossinia pallidipes	2
goatpox	2
goat poxvirus	2
Gordonia amarae	2
Gordonia hydrophobica	2
Gordonia malaquae	2
Gordonia terrae	2
Gouldian	2
Grapholita molesta	2
Grapholita molesta ( Busck )	2
greenhouse whitefly	2
grey - crowned babblers	2
Gryllus bimaculatus	2
Gryllus bimaculatus DeGeer	2
GTPV	2
Gymnodinium acidotum	2
Gyrodinium helveticum	2
H1N1 influenza	2
H1N1pdm viruses	2
H3 influenza virus	2
H5N1 viruses	2
H9N2 virus	2
Hartmannella cantabrigiensis	2
Hartmannella sp . 4 / 3Da / 10	2
H . cantabrigiensis	2
Helicobacter pylori	2
Helicoverpa armigera	2
Heliothis subflexa	2
hens	2
hepatitis B	2
Hepatitis B virus	2
hepatitis C viruses	2
hepatitis D	2
hepatitis delta virus	2
hepatitis delta viruses	2
H . erato	2
Heteractis magnifica	2
Hippodamia convergens Guerin - Meneville	2
Histoplasma capsulatum	2
HIV - 1 CRF01 _ AE	2
HIV - 1 strain NL4 - 3	2
HIV - 2	2
Honeybees	2
hordei	2
Horseradish	2
horses	2
house fly	2
HPV16	2
Hs	2
H . subflexa	2
HTCC2503T	2
human adenovirus	2
Human adenoviruses ( Ads )	2
human bocavirus	2
human body lice	2
Human cytomegalovirus	2
human immunodeficiency	2
human immunodeficiency virus	2
Human immunodeficiency virus	2
human lice	2
human metapneumovirus	2
human papillomavirus type 8	2
Human respiratory syncytial virus	2
Hv	2
H . werneckii	2
Hymenoptera	2
Ignicoccus hospitalis	2
Indian rhesus macaques	2
infectious hypodermal and hematopoietic necrosis virus	2
Infectious hypodermal and hematopoietic necrosis virus	2
Influenza A virus	2
influenza viruses	2
JA biosynthesis ( spr2 ) mutant	2
jackfruit	2
JA - overexpression 35S : : prosys plant	2
JCM 16421 ( T )	2
Jiangella alba YIM 61503 ( T )	2
Jiangella alkaliphila D8 - 87 ( T )	2
Jiangella gansuensis YIM 002 ( T )	2
Junin virus	2
K - 12 strain	2
Kaposi ' s sarcoma - associated herpesvirus	2
Kaposi ' s sarcoma herpesvirus	2
Kentrophoros flavus Raikov and Kovaleva , 1968	2
Kentrophoros gracilis Raikov , 1963	2
K . flavus	2
K . gracilis	2
Kluyveromyces marxianus	2
Labedella gwakjiensis KSW2 - 17 ( T )	2
Lactococcus lactis	2
Larkinella bovis	2
Lasius niger	2
Lassa virus AV	2
L . crassa	2
L . creticus	2
leafminer	2
Leavenworthia crassa	2
Leifsonia ginsengi wged11 ( T )	2
Leptinotarsa decemlineata ( Say )	2
lethal 2009 pandemic H1N1 influenza virus	2
Liriomyza huidobrensis	2
Litsea monopetala	2
LMG 25435 ( T	2
L . monopetala	2
L . niger	2
loblolly pine	2
Lolium perenne	2
London plane tree	2
long - tailed finch	2
Loxigilla noctis	2
Loxodonta cyclotis	2
lsaria ( = Paecilomyces ) sp .	2
LSDV	2
L . tridentata	2
Lubomirskia incrustans	2
lumpy skin disease virus	2
Macaca mulatta	2
M . acetivorans	2
Magnaporth oryzae	2
Maize mosaic rhabdovirus	2
Maize mosaic rhabdovirus ( MMV )	2
maize weevil	2
Malus baccata jackii	2
Mammalian orthoreoviruses	2
Manihot esculenta	2
Mantamonas plastica	2
Mantamonas plastica sp . n .	2
Marek ' s disease virus 1	2
Marek ' s disease virus type 1	2
Maribacter sp . strain HTCC2170	2
marine bacterium	2
Marinobacterium maritimum	2
Marinobacterium sediminicola	2
Marinobacterium stanieri	2
Mauritius kestrel	2
Measles virus	2
Medicago sativa	2
Megaphorura arctica	2
Melanotaenia australis	2
meningococcal	2
Metaphycus luteolus	2
Metarhizium anisopliae	2
Methanobacterium subterraneum	2
Methanocaldococcus jannaschii	2
Methanoregula boonei	2
Methanosarcina acetivorans	2
Methanothermobacter thermoautotrophicus	2
Mexican palo verde	2
Mice	2
Micrometopion nutans	2
Microterricola viridarii KV - 677 ( T )	2
Microtus oeconomus	2
Minimassisteria diva	2
Mink	2
M . micromalus	2
monkeypox virus	2
monkeypox viruses	2
Morchella rufobrunnea	2
Morels	2
mouse cytomegalovirus	2
M . raptorellus	2
mud crab	2
mud crab dicistrovirus	2
Mud crab dicistrovirus	2
murine leukemia virus ( F - MuLV )	2
MutSL knockout strain	2
mycoplasma	2
Myrmica rubra	2
N . animaloris	2
narcissus bulb fly	2
native galaxias	2
N . bacilliformis	2
N . canis	2
NDV09 - 034	2
NDV isolates	2
Neisseria canis	2
Neisseria gonorrhoeae	2
Neosartorya fischeri	2
Neurosporacrassa	2
Neurospora tetrasperma	2
newman	2
New World screw - worm	2
N . farcinica	2
Nicotiana tabacum	2
Ni . lugens	2
N . meningitidis	2
Nocardia farcinica	2
Nocardia farcinica IFM 10152	2
Nocardioides caricicola sp . nov .	2
Notiomystis cincta	2
N . pumilio	2
N . tetrasperma	2
Nudifila producta	2
N . weaveri	2
N . zoodegmatis	2
O157 : H7	2
oaks	2
O / AV99 ( L )	2
O / CHA / 99	2
Ochromonas danica	2
O . cornuta	2
Omegastrombidium elegans	2
Opius dissitus	2
oriental fruit fly	2
Oriental fruit fly	2
oriental fruit moth	2
Oryza sativa short postembryonic roots 1	2
Oscillochloris trichoides	2
Osmia cornuta	2
Osspr1	2
Ovulinata parva	2
P . aculeata	2
pandemic H1N1 influenza virus	2
pandemic influenza virus	2
Panonychus citri	2
papaya	2
Paracercomonas marina	2
Paracoccidioides lutzii	2
Parkinsonia aculeata	2
Parvularcula bermudensis HTCC2503 ( T )	2
Paulinella chromatophora	2
P . bombycina	2
P . brassicae	2
P . bursaria	2
P . circumflexum	2
P . citri	2
P . c . stanleyana	2
P . curvatus Borgmeier	2
pea aphids	2
Peach	2
peanut	2
PemoNPV	2
Penaeus monodon nucleopolyhedrovirus	2
Penaeus stylirostris	2
Penaeus vannamei	2
Penicillium citrinum	2
Penicillium marneffei	2
Peregrinia clavideferens	2
Perkinsus marinus	2
Persea bombycina	2
PERV - B	2
PERVs	2
P . fluorescens strains	2
Phycicoccus bigeumensis DSM 19264 ( T )	2
Phycicoccus dokdonensis DS - 8 ( T )	2
Phyllotreta striolata	2
Phytophthora ramorum	2
Picea glauca	2
Pichiapastoris	2
